번호,서명,저자,발행자,발행년,청구기호,자료실
461,뚜식이. 3,뚜식이 원작 ; 덕윤웨이브 본문 구성,서울문화사,2023,아동 813.8-3729-3,[해운대인문학]어린이자료실
462,뚜식이. 4,뚜식이 원작 ; 덕윤웨이브 본문 구성,서울문화사,2023,아동 813.8-3729-4,[해운대인문학]어린이자료실
463,뚜식이. 5,뚜식이 원작 ; 윤보현 본문 구성,서울문화사,2024,아동 813.8-3729-5=2,[해운대인문학]어린이자료실
464,뚜식이. 6,뚜식이 원작 ; 윤보현 본문 구성,서울문화사,2024,아동 813.8-3729-6,[해운대인문학]어린이자료실
465,"뚜식이. 7, 다이아수저 편",뚜식이 원작 ; 윤보현 본문 구성,서울문화사,2024,아동 813.8-3729-7,[해운대인문학]어린이자료실
466,"뚜식이의 과학 일기. 3, 진짜 공부 VS 가짜 공부",뚜식이 원작 ; 최유성 지음 ; 신혜영 그림,서울문화사,2025,아동 404-279-3,[해운대인문학]어린이자료실
467,자연이 내게 말했어,이경희 지음 ; 주소영 그림,봄개울,2025,유아 813.8-3411,[해운대인문학]유아자료실
468,"흔한남매 과학 탐험대. 15, 바다","흔한남매 원작 ; 김언정,송은경 지음 ; 김덕영 그림",주니어김영사,2025,아동 404-150-15,[해운대인문학]어린이자료실
469,"흔한남매 세계사 탐험대. 4, 춘추 전국 시대와 한나라",흔한남매 원작 ; 진서 지음 ; 팀키즈 그림,주니어김영사,2025,아동 909-212-4,[해운대인문학]어린이자료실
470,"미스터리 과학 조사단. 09, 동식물의 특징과 역할",안치현 지음 ; 강경효 그림,미래엔아이세움,2025,아동 404-30-9,[해운대인문학]어린이자료실
471,"응가 빙수. 1, ％와 백분율: 후계자를 찾아라!",별남 지음 ; 밤코 그림,미래엔아이세움,2025,아동 410-255-1,[해운대인문학]어린이자료실
472,흔한남매. 20,흔한남매 원작 ; 백난도 지음 ; 유난희 그림,미래엔아이세움,2025,아동 813.8-1498-20,[해운대인문학]어린이자료실
473,"슈팅스타 캐치! 티니핑. 5, 아롱다롱 만나고 싶어!",SAMG 원작·그림 ; 아이휴먼 편집부 엮음,아이휴먼,2025,유아 813.8-3241-5,[해운대인문학]유아자료실
474,"슈팅스타 캐치! 티니핑. 6, 댄스핑은 별이 다섯 개",SAMG 원작·그림 ; 아이휴먼 편집부 엮음,아이휴먼,2025,유아 813.8-3241-6,[해운대인문학]유아자료실
475,신비한 지식 백화점. 경제,김일옥 지음 ; 달상 그림,그린애플,2023,아동 031-73-[1],[해운대인문학]어린이자료실
476,디지털 미래영재학교 : 3D 프린터반. 1,"김종훈,최일훈 지음",이케이북,2025,아동 004.76-2-1,[해운대인문학]어린이자료실
477,돈이 뭔데?,김해린 지음 ; 안나 간티무로바 그림,스마일북스,2022,유아 320-3-[1],[해운대인문학]유아자료실
478,부자는 어떻게 부자가 됐을까?,황근기 지음 ; 다이나 우스만디 그림,스마일북스,2022,유아 320-3-[2],[해운대인문학]유아자료실
479,똑똑하게 돈 쓰는 법,신현준 지음 ; 크세니야 자바바쉬키나 그림,스마일북스,2022,유아 320-3-[3],[해운대인문학]유아자료실
480,"은행, 부자가 되는 첫걸음",박소영 지음 ; 후안베후안 올리버 그림,스마일북스,2022,유아 320-3-[4],[해운대인문학]유아자료실
481,피피도 주식을 데굴데굴,황근기 지음 ; 아나스타샤 자바바쉬키나 그림,스마일북스,2022,유아 320-3-[5],[해운대인문학]유아자료실
482,시장으로 간 지혜로운 형제,박소영 지음 ; 마루샤 벨 그림,스마일북스,2022,유아 320-3-[6],[해운대인문학]유아자료실
483,데이지의 쿠키 가게,김해린 지음 ; 조 리치필드 그림,스마일북스,2022,유아 320-3-[7],[해운대인문학]유아자료실
484,"백수 라이언, 마침내 직업을 찾다",황근기 지음 ; 크세니야 자바바쉬키나 그림,스마일북스,2022,유아 320-3-[8],[해운대인문학]유아자료실
485,세금 내는 탐지견 장군이,황근기 지음 ; 제이넵 외자탈라이 그림,스마일북스,2022,유아 320-3-[9],[해운대인문학]유아자료실
486,앵그리아와 패리의 땅이 무역을 하면,제인 세인트 클레어 지음 ; 레티시아 리조 그림,스마일북스,2022,유아 320-3-[10],[해운대인문학]유아자료실
487,(과학동화) 24분 편의점 : 2호 섬마을점 긴급 기름 제거 작전,김희남 지음 ; 이유진 그림,사파리,2025,아동 404-292-2,[해운대인문학]어린이자료실
488,12운성을 알면 사주가 보인다,정기택 지음,좋은땅,2025,188.5-54,[해운대인문학]종합자료실
489,(2026) 맘마미아 가계부,맘마미아 지음,진서원,2025,591.1-7,[해운대인문학]보존서고(종합실)
490,2026 한국이 열광할 세계 트렌드,KOTRA 지음,시공사,2025,321.97-189,[해운대인문학]종합자료실
491,5000p 시대를 위한 투자 대전환,김학균 지음,어바웃어북,2025,327.856-539,[해운대인문학]종합자료실
492,"AGI, 천사인가 악마인가",김대식 지음 ; 메종 드 광렬 일러스트,동아시아,2025,331.5412-296,[해운대인문학]종합자료실
493,AI 내부자들,안건 외 지음,스마트북스,2025,331.5412-297,[해운대인문학]종합자료실
494,건축가 : 빛과 선으로 삶을 그리는 사람,매거진 B 편집부 [편] ; 엄유정 일러스트,레퍼런스바이비,2020,321.55-95-3,[해운대인문학]종합자료실
495,셰프 : 맛의 세계에서 매일을 보내는 사람,매거진 B 편집부 [편] ; 손은경 일러스트,레퍼런스바이비,2020,321.55-95-2,[해운대인문학]종합자료실
496,코미디언 : 관찰과 교감으로 웃음을 발명하는 사람,매거진 B 편집부 [편] ; 손정민 일러스트,레퍼런스바이비,2022,321.55-95-5,[해운대인문학]종합자료실
497,영화감독 : 개인의 이야기로 보편적 집단과 소통하는 사람,매거진 B 편집부 [편] ; Lucinda Rogers 일러스트,레퍼런스바이비,2025,321.55-95-6,[해운대인문학]종합자료실
498,소설가 : 써야 하는 이야기를 쓰고 마는 사람,매거진 B 편집부 [편] ; 최지욱 일러스트,레퍼런스바이비,2020,321.55-95-4,[해운대인문학]종합자료실
499,린 HR : 당신의 스타트업은 안녕하십니까,이용훈 지음,한빛미디어,2024,325.21-221,[해운대인문학]종합자료실
500,RO DBT : 온전히 개방적인 변증법적 행동치료,토머스 R. 린치 지음 ; 나경세 옮김,해피한가,2024,513.8914-4,[해운대인문학]종합자료실
501,더 에이치알 : 성장하는 기업에는 성공하는 HR이 있다,변연배 지음,클라우드나인,2023,325.3-46,[해운대인문학]종합자료실
502,가공범,히가시노 게이고 지음 ; 김선영 옮김,북다,2025,833.6-1411=2,[해운대인문학]종합자료실
503,가장 낯선 바다에서 가장 나다워졌다,허가윤 지음,부크럼,2025,818-3628,[해운대인문학]종합자료실
504,고대 한국의 풍경 : 옛사람들의 삶의 무늬를 찾아서,전호태 지음,성균관대학교출판부,2021,911.02-14,[해운대인문학]종합자료실
505,과학산문,"김상욱,심채경 지음",복복서가,2025,404-337,[해운대인문학]종합자료실
506,과학을 만든 사람들,존 그리빈 지음 ; 권루시안 옮김,진선북스,2021,409.9-26,[해운대인문학]종합자료실
507,권도균의 스타트업 경영 수업,권도균 지음,유씨북스,2025,325.21-194-개정판,[해운대인문학]종합자료실
508,"기독교, 로마를 뒤흔든 낯선 종교",니제이 굽타 지음 ; 박장훈 옮김,한국기독학생회출판부,2025,230.9-12=2,[해운대인문학]종합자료실
509,나의 사주명리,현묘 지음,날,2022,188.5-55,[해운대인문학]종합자료실
510,나의 사주명리. 심화 편,현묘 지음,날,2023,188.5-55-[2],[해운대인문학]종합자료실
511,임신의 기술,이승주 지음,희망마루,2022,516.47-9,[해운대인문학]종합자료실
512,난임과 유산에 대처하는 심리 가이드,에이미 웬젤 지음 ; 이승재 외 옮김,심심,2024,516.47-10,[해운대인문학]종합자료실
513,낯섦과 공존 : AI 시대의 세계관 확장 수업,김태원 지음,휴먼큐브,2025,001.3-475,[해운대인문학]종합자료실
514,내 이야기가 진담이 될 까봐,정선우 지음,파란,2025,811.7-257-163,[해운대인문학]종합자료실
515,노인을 위한 나라는 없다,코맥 매카시 지음 ; 황유원 옮김,문학동네,2025,808-2-268,[해운대인문학]종합자료실
516,단 한 줄만 내 마음에 새긴다고 해도,나민애 지음,포레스트북스,2025,811.7-797,[해운대인문학]종합자료실
517,달리기 인류,마이클 크롤리 지음 ; 정아영 옮김,서해문집,2025,389-58,[해운대인문학]종합자료실
518,담는 것／담기는 것 안에서의 성장과 격랑 : 비온의 유산,"하워드 B. 레빈,로렌스 J. 브라운 편집 ; 이재훈 외 옮김",현대정신분석연구소,2023,185.5-76,[해운대인문학]종합자료실
519,더 컬트,전건우 지음,한겨레출판,2025,813.7-4075,[해운대인문학]종합자료실
520,독쑤기미 : 멸종을 사고 팝니다,네드 보먼 지음 ; 최세진 옮김,황금가지,2025,843-2325,[해운대인문학]종합자료실
521,디스펠,이마무라 마사히로 지음 ; 구수영 옮김,내친구의서재,2025,833.6-1426,[해운대인문학]종합자료실
522,똑게육아 올인원,로리 지음,북로스트,2025,598.1-740=2,[해운대인문학]종합자료실
523,리얼 규슈 소도시,이상조 지음 ; 핸드라이트 지도·일러스트,한빛라이프,2025,981.3402-17-[2026],[해운대인문학]종합자료실
524,마음이 고장 났어도 고치면 그만이니까,손성원 지음,위즈덤하우스,2025,818-3629,[해운대인문학]종합자료실
525,마지막 증인,이은택 지음,예빈우,2024,818-3623=2,[해운대인문학]종합자료실
526,"마흔, 더 늦기 전에 생각의 틀을 리셋하라",박근필 지음,알토북스,2025,199.1-829=2,[해운대인문학]종합자료실
527,머리 좋은 아이는 이렇게 키웁니다,"에일린 케네디 무어,마크 S. 뢰벤탈 지음 ; 박미경 옮김",레디투다이브,2025,598.1-745,[해운대인문학]종합자료실
528,멜랑콜리아,미르체아 커르터레스쿠 지음 ; 백승남 옮김,은행나무,2025,889-1,[해운대인문학]종합자료실
529,홍콩 : 침사추이｜센트럴｜빅토리아 피크｜몽콕,"김승남 외 지음 ; 팀맵핑,김향옥 지도 ; 팀맵핑 ,김향옥 지도",길벗,2024,981.23402-7-[2025]=2,[해운대인문학]종합자료실
530,미국 주식 급등주 발굴법,유지윤 지음,북오션,2025,327.856-540,[해운대인문학]종합자료실
531,바다가 들리는 편의점. 4,마치다 소노코 지음 ; 황국영 옮김,모모,2025,833.6-1096-4=2,[해운대인문학]종합자료실
532,바벨. Ⅰ,R. F. 쿠앙 지음 ; 이재경 옮김,문학사상,2025,843-2326-1,[해운대인문학]종합자료실
533,바벨. Ⅱ,R. F. 쿠앙 지음 ; 이재경 옮김,문학사상,2025,843-2326-2,[해운대인문학]종합자료실
534,베르가못 샤워,이아로 지음,저스트스토리지,2022,818-3630,[해운대인문학]종합자료실
535,부모의 말투는 아이의 감정이 된다,우치다 겐지 지음 ; 오현숙 옮김,퍼스트페이지,2025,598.1-741=2,[해운대인문학]종합자료실
536,붉은 시대,박노자 지음 ; 원영수 옮김,한겨레출판,2025,340.25-5,[해운대인문학]종합자료실
537,비눗방울 퐁,이유리 지음,민음사,2024,813.7-3765=4,[해운대인문학]종합자료실
538,비만 해방,데이비드 A. 케슬러 지음 ; 이충호 옮김,웅진지식하우스,2025,517.52-103,[해운대인문학]종합자료실
539,빌런의 심리학,오시오 아쓰시 지음 ; 김현정 옮김,시그마북스,2025,182.12-52,[해운대인문학]종합자료실
540,사랑에 대해 내가 아는 모든 것,돌리 앨더튼 지음 ; 김미정 옮김,윌북,2024,848-143-[개정판]=2,[해운대인문학]종합자료실
541,삼체 0 : 구상섬전,류츠신 지음 ; 허유영 옮김,다산책방,2025,823.7-192,[해운대인문학]종합자료실
542,인사담당자를 위한 실무 안내서,김재순 지음,바른북스,2023,325.3-47,[해운대인문학]종합자료실
543,"생존을 넘어 번창으로. 1, 기업의 여정","남태희,밥 팅커 지음 ; 최두환 옮김",다산북스,2021,325.21-163-1=2,[해운대인문학]종합자료실
544,설산의 사랑,딩옌 지음 ; 오지영 옮김,글항아리,2025,823.7-191,[해운대인문학]종합자료실
545,성경은 드라마다,"크레이그 바르톨로뮤,마이클 고힌 지음 ; 김명희 옮김",한국기독학생회출판부,2025,233-47,[해운대인문학]종합자료실
546,근육연결도감,키마타 료 지음 ; 장하나 옮김,중앙북스,2024,517.32-132=3,[해운대인문학]종합자료실
547,근육연결도감. 셀프케어편,키마타 료 지음 ; 장하나 옮김,중앙북스,2025,517.32-132-[2]=4,[해운대인문학]종합자료실
548,수영 그만두기,린 셰프턴 지음 ; 최리외 옮김,위고,2025,848-458,[해운대인문학]종합자료실
549,숨겨진 얼굴,이현종 지음,모모북스,2025,813.7-4076,[해운대인문학]종합자료실
550,숨이 멎는 밤 (feat.코골이),유제원 지음,좋은땅,2025,517.31-42,[해운대인문학]종합자료실
551,스무 살의 너에게,박석현 지음,좋은땅,2024,199.1-840,[해운대인문학]종합자료실
552,스테이블코인의 시대,이선민 지음,잇담북스,2025,327.2-113,[해운대인문학]종합자료실
553,스토리가 보이는 드로잉의 기술,"오쓰 다쿠야,시토 후쿠로 지음 ; 박유미 옮김",알에이치코리아,2025,656-37,[해운대인문학]종합자료실
554,스티브 잡스,월터 아이작슨 지음 ; 안진환 옮김,민음사,2021,325.099-3-개정판,[해운대인문학]종합자료실
555,스프링 피버,백민아 지음,필름,2025,813.7-4077,[해운대인문학]종합자료실
556,시대예보 : 경량문명의 탄생,송길영 지음,교보문고,2025,331.544-96-[3],[해운대인문학]종합자료실
557,시무의 역사학자 강덕상,강덕상 기록 간행위원회 엮음 ; 이규수 옮김,어문학사,2021,900.99-4,[해운대인문학]종합자료실
558,실패를 통과하는 일,박소령 지음,북스톤,2025,325.211-1193,[해운대인문학]종합자료실
559,액스,도널드 E. 웨스트레이크 지음 ; 최필원 옮김,오픈하우스,2025,843-230-[15A],[해운대인문학]종합자료실
560,어른의 미래,편혜영 지음,문학동네,2025,813.7-4078,[해운대인문학]종합자료실
561,"여름, 연루",권누리 외 지음,빠마,2025,811.7-798,[해운대인문학]종합자료실
562,열심히 대충 쓰는 사람,윤덕원 지음,세미콜론,2025,818-3631,[해운대인문학]종합자료실
563,예술에 관한 살인적 농담,설재인 지음,나무옆의자,2025,813.7-4079,[해운대인문학]종합자료실
564,오늘날 정신분석의 꿈 담론,새라 플랜더스 엮음 ; 이세형 옮김,현대정신분석연구소,2022,185.5-77,[해운대인문학]종합자료실
565,"오시 하나, 내 멋대로 산다",우치다테 마키코 지음 ; 이지수 옮김,서교책방,2025,833.6-1427,[해운대인문학]종합자료실
566,월배당 ETF 재무제표 완전정복,미국 회계사 EK 지음,티더블유아이지,2025,327.856-541,[해운대인문학]종합자료실
567,유머레스크,쓰무라 기쿠코 지음 ; 양지윤 옮김,빈페이지,2025,833.6-1428,[해운대인문학]종합자료실
568,이상한 아이들 클럽,페트라 소우쿠포바 지음 ; 니콜라 로고소바 그림 ; 박효진 옮김,엣눈북스,2024,892.96-18,[해운대인문학]종합자료실
569,인생 쓰고 나면 달고나,권혜린 외 지음,이월오일,2025,818-3632,[해운대인문학]종합자료실
570,전망 좋은 아빠,김형곤 지음,페스트북,2025,598.1-746,[해운대인문학]종합자료실
571,절창,구병모 지음,문학동네,2025,813.7-4080,[해운대인문학]종합자료실
572,정지훈의 양자컴퓨터 강의,정지훈 지음,한빛미디어,2025,004-36,[해운대인문학]종합자료실
573,정통 오행 지압 백과,"김동현,김한선 지음",태을출판사,2024,512.57-83,[해운대인문학]종합자료실
574,조선미의 현실 육아 상담소,조선미 지음,북하우스,2023,598.1-612=3,[해운대인문학]종합자료실
575,조직관리와 HR전략,정민홍 지음,성신미디어,2022,325.3-48,[해운대인문학]종합자료실
576,종말까지 다섯 걸음,장강명 지음,문학동네,2025,813.7-4081,[해운대인문학]종합자료실
577,지금을 살지 못하는 당신에게,이지훈 지음,위즈덤하우스,2023,148.3-34=2,[해운대인문학]종합자료실
578,지리의 힘. 2,팀 마샬 지음 ; 김미선 옮김,사이,2022,340.98-1-2=2,[해운대인문학]종합자료실
579,지리의 힘. 3,팀 마샬 지음 ; 윤영호 옮김,사이,2025,340.98-1-3,[해운대인문학]종합자료실
580,진실과 아름다움 : 어느 우정의 역사,앤 패칫 지음 ; 메이 옮김,복복서가,2025,848-459,[해운대인문학]종합자료실
581,"질병을 치료하는 지압 동의보감. 1, 질병·증상편","세리자와 가츠스케 지음 ; 김창환,김용석 [공]편역",중앙생활사,2022,512.57-84-1,[해운대인문학]종합자료실
582,천재들의 식탁에서 인문학을 맛보다,조성관 지음 ; 김은지 일러스트,자유의길,2025,381.75-91,[해운대인문학]종합자료실
583,충복,하인리히 만 지음 ; 남기철 옮김,지식을만드는지식,2024,853-244,[해운대인문학]종합자료실
584,측정의 과학,크리스토퍼 조지프 지음 ; 고현석 옮김,21세기북스,2022,420.7-3,[해운대인문학]종합자료실
585,패자의 고백,미키 아키코 지음 ; 문지원 옮김,블루홀식스,2025,833.6-1429,[해운대인문학]종합자료실
586,프루동 평전,조지 우드코크 지음 ; 하승우 옮김,한티재,2021,340.99-133,[해운대인문학]종합자료실
587,곰 한 마리가 숲속에 있어,김영리 지음,책폴,2025,813.7-4082,[해운대인문학]종합자료실
588,나만 아는 거짓말,김하연 지음,다산책방,2025,813.7-4083,[해운대인문학]종합자료실
589,남의 썸 관찰기,청예 지음,다림,2023,813.7-4084,[해운대인문학]종합자료실
590,트윈,유진서 지음,위즈덤하우스,2025,813.7-4085,[해운대인문학]종합자료실
591,100가지 식물로 읽는 세계사,사이먼 반즈 지음 ; 이선주 옮김,현대지성,2024,480.9-3,[해운대인문학]종합자료실
592,10대라면 반드시 알아야 할 세계 근현대사,홍수지 지음,팬덤북스,2025,909-528,[해운대인문학]종합자료실
593,(10대를 위한) 데일 카네기 자기관리론,데일 카네기 지음 ; 카네기클래스 편역,책이라는신화,2024,199.5-84-[1],[해운대인문학]종합자료실
594,1년에 1천만 원 수익 내는 주식 투자 기술,안형준 지음,원앤원북스,2025,327.856-542,[해운대인문학]종합자료실
595,1인 학원 성공 경영 부스터,조경이 외 지음,더메이커,2024,325.21-222,[해운대인문학]종합자료실
596,2025 제12회 교보문고 스토리대상 단편 수상작품집,지다정 외 지음,북다,2025,813.7082-21-2025,[해운대인문학]종합자료실
597,"40/40 : 40개의 코스, 40일간의 여정",오상준 지음,키에프오,2025,695.8-34,[해운대인문학]종합자료실
598,50부터 뇌가 젊어지는 습관,와다 히데키 지음 ; 이현주 옮김,센시오,2025,511.1689-23,[해운대인문학]종합자료실
599,60세 사용설명서,구로카와 이호코 지음 ; 명다인 옮김,지상사,2024,189-292,[해운대인문학]종합자료실
600,76층 탐정,정명섭 지음,팩토리나인,2025,813.7-4086,[해운대인문학]종합자료실
601,AI 시대의 부의 지도,오순영 지음,메이트북스,2024,327.8-159,[해운대인문학]종합자료실
602,AI 영상 : 미드저니·런웨이·소라·클링·하이루오,안재홍 지음,길벗,2025,004.73-131,[해운대인문학]종합자료실
603,AI 원더랜드,안재홍 지음,길벗,2024,004.73-132-[1],[해운대인문학]종합자료실
604,AI 툴킷,김규태 지음,길벗,2024,004.73-132-[2],[해운대인문학]종합자료실
605,빅 리더십,김경수 지음,라온북,2024,325.24-282,[해운대인문학]종합자료실
606,DEI 시작하기,정진호 외 지음,원앤온리,2024,325.23-22,[해운대인문학]종합자료실
607,(Do it!) 조코딩의 첫 웹 개발,"조동근,조경민 지음",이지스퍼블리싱,2024,005.118-24,[해운대인문학]종합자료실
608,DX 시대 리더가 꼭 알아야 할 파운드리 반도체의 세계,권영화 지음,지식플랫폼,2024,323.694-4,[해운대인문학]종합자료실
609,ETF 투자의 모든 것,문일호 지음,매일경제신문사,2025,327.856-543,[해운대인문학]종합자료실
610,K뷰티 트렌드,김난도 외 지음,미래의창,2025,325.1-407,[해운대인문학]종합자료실
611,K-콘텐츠로 보는 현대사회,박현민 지음,우주북스,2024,331.5-108,[해운대인문학]종합자료실
612,"더 게임 체인저스 : 열정을 품다, 돈을 벌다",비미디어컴퍼니 지음,비미디어컴퍼니,2024,325.211-1194,[해운대인문학]종합자료실
613,UX 디자인하기,"가쓰라 마코토,주식회사 엑스톤 지음 ; 김정환 옮김",잇담북스,2025,004.78-15,[해운대인문학]종합자료실
614,가족을 다 안다는 착각,최광현 지음,빌리버튼,2024,189.24-52,[해운대인문학]종합자료실
615,간다 마사노리의 감정 마케팅으로 고객을 사로잡는 법,간다 마사노리 지음 ; 최윤경옮김,두드림미디어,2024,325.5-268,[해운대인문학]종합자료실
616,간호사 우즈키에게 보이는 것,아키야 린코 지음 ; 김지연 옮김,문예춘추사,2025,833.6-1430,[해운대인문학]종합자료실
617,감정은 상처가 아니다,웃따 지음,웅진지식하우스,2024,189.2-310,[해운대인문학]종합자료실
618,감정은 어떻게 조절되는가,"패트리샤 주리타 오나 지음 ; 곽욱환,조철래 옮김",삶과지식,2024,513.8914-5,[해운대인문학]종합자료실
619,개마고지,박원선 지음,두루,2025,813.7-4087,[해운대인문학]종합자료실
620,개복치 직장인 생존 가이드,오노 모에코 지음 ; 일본콘텐츠전문번역팀 옮김,크루,2024,325.211-1195,[해운대인문학]종합자료실
621,검찰국가의 배신,이춘재 지음,한겨레출판,2024,340.911-195,[해운대인문학]종합자료실
622,(견고한 유연성으로) 변화 스트레스 끄기,브래드 스털버그 지음 ; 최정민 옮김,프리렉,2024,189.1-344,[해운대인문학]종합자료실
623,고객은 '이런 매장'에 간다,"박종현,김종서 지음",렛츠북,2024,325.1-408,[해운대인문학]종합자료실
624,고시원킹 실전편,서봉기 지음,재재책집,2024,325.21-223,[해운대인문학]종합자료실
625,고장 난 세계의 신과 내일 비가 올 확률,경민선 지음,안온,2025,813.7-4088,[해운대인문학]종합자료실
626,고통과 권태 사이에서,아르투어 쇼펜하우어 지음 ; 이동용 엮음,세창미디어,2024,165.47-25,[해운대인문학]종합자료실
627,공감 소통,문충태 지음,중앙경제평론사,2024,802.56-147,[해운대인문학]종합자료실
628,공룡이 사라진 자리에 주유소가 생겼다,이상현 지음,이케이북,2025,421.6-1,[해운대인문학]종합자료실
629,공무원 보고서 글쓰기,신영민 지음,연암사,2024,325.484-26,[해운대인문학]종합자료실
630,과학이 세상을 바꾼 순간,앨런 라이트먼 지음 ; 박미용 외 옮김,다산초당,2025,409-87,[해운대인문학]종합자료실
631,곽재선의 창,곽재선 지음,김영사,2025,325.04-241,[해운대인문학]종합자료실
632,광물 전쟁,어니스트 샤이더 지음 ; 안혜림 옮김,위즈덤하우스,2025,321.344-1,[해운대인문학]종합자료실
633,교사 N잡 백서,정동완 외 지음,박영스토리,2024,370.4-197,[해운대인문학]종합자료실
634,교사의 고통,정철희 지음,휴머니스트출판그룹,2024,370.4-198,[해운대인문학]종합자료실
635,교수처럼 문학 읽기,"토마스 포스터 지음 ; 손영미,박영원 옮김",이루,2024,809-49-개정판,[해운대인문학]종합자료실
636,교실에서 바로 통하는 배움중심수업 에듀테크와 AI로 확! 잡자,유수근 지음,앤써북,2024,373.33-31,[해운대인문학]종합자료실
637,교실에서 바로 통하는 하이테크 에듀테크 미래교육 실전활용법,김병남 외 지음,앤써북,2024,373.33-32,[해운대인문학]종합자료실
638,교실혁명,이미향 지음,가연,2024,375.2-29,[해운대인문학]종합자료실
639,교양인을 위한 플리니우스 박물지,가이우스 플리니우스 세쿤두스 원작 ; 존 S·화이트 엮음 ; 서경주 번역,노마드,2024,031-35,[해운대인문학]종합자료실
640,교회교인가 그리스도교인가,안토니 블룸 지음 ; 양세규 옮김,비아,2024,234.8-222,[해운대인문학]종합자료실
641,그 만남을 묻다 : 삶으로 답하다,"김형국,김수형 지음",생명의말씀사,2024,234.8-223,[해운대인문학]종합자료실
642,"그래도 우리, 헤어질 수는 없잖아",박성덕 지음,예문,2024,189.24-53,[해운대인문학]종합자료실
643,그래서 지금 기분은 어때요?,조슈아 플레처 지음 ; 정지인 옮김,김영사,2025,186.5-161,[해운대인문학]종합자료실
644,그림자 왕,마자 멩기스테 지음 ; 민은영 옮김,문학동네,2025,843-2327,[해운대인문학]종합자료실
645,근대 일본 단편소설 6선,다니자키 준이치로 원작 ; 미니 번역,부크크,2025,833.6-1431,[해운대인문학]종합자료실
646,기부불신,이보인 지음,마음연결,2024,338.1-6,[해운대인문학]종합자료실
647,기울어진 뇌,로린 J. 엘리아스 지음 ; 제효영 옮김,알에이치코리아,2025,511.1813-214,[해운대인문학]종합자료실
648,기획자의 SQL : 데이터에는 내러티브가 있다,조은성 지음,인사이트,2024,005.755-10,[해운대인문학]종합자료실
649,길게 말하면 미움받는다,요코타 이사오 지음 ; 양필성 옮김,마인드빌딩,2024,802.56-148,[해운대인문학]종합자료실
650,김밥천국 가는 날,전혜진 지음,래빗홀,2025,813.7-4089,[해운대인문학]종합자료실
651,김장미를 찾아서,"김성주,Lee-Anne Davis 지음",소포라북스,2025,813.7-4090,[해운대인문학]종합자료실
652,꽃거지를 찾습니다,홍선주 지음,한끼,2025,813.7-4091,[해운대인문학]종합자료실
653,꽃과 뼈,줄리아 히벌린 지음 ; 유소영 옮김,소담출판사,2025,843-2328,[해운대인문학]종합자료실
654,"꿀잠 선물 가게, 기적을 팝니다",박초은 지음 ; 모차 그림,토닥스토리,2025,813.7-4092,[해운대인문학]종합자료실
655,꿈꾸는 도서관,나카지마 교코 지음 ; 안은미 옮김,정은문고,2025,833.6-1432,[해운대인문학]종합자료실
656,나 홀로 짠!,이새미 지음,숨프레스,2025,818-3633,[해운대인문학]종합자료실
657,나는 간호사입니다,천정은 지음,마음세상,2024,512.804-10,[해운대인문학]종합자료실
658,나는 교사다 그러므로 생각한다,그림책사랑교사모임 지음,교육과실천,2024,370.4-199,[해운대인문학]종합자료실
659,나는 미국 ETF로 해외여행 간다,유지윤 지음,북오션,2025,327.856-544,[해운대인문학]종합자료실
660,나는 병원마케팅 전문가이다,김수정 외 지음,호인,2024,517.16-13,[해운대인문학]종합자료실
661,나는 북경의 택배기사입니다,후안옌 지음 ; 문현선 옮김,윌북,2025,828-32,[해운대인문학]종합자료실
662,나는 아동학대 교사입니다,이혜영 지음,초록펭귄,2024,379.1-3,[해운대인문학]종합자료실
663,나는 오늘 불안과 친구가 되기로 했다,장신웨 지음 ; 고보혜 옮김,알토북스,2024,189.1-345,[해운대인문학]종합자료실
664,나는 오늘 칸트를 만나 행복해졌다,이라야 지음,알토북스,2024,165.21-27,[해운대인문학]종합자료실
665,나는 왜 나를 사랑하지 않았을까,고울 연 지음,바른북스,2025,813.7-4093,[해운대인문학]종합자료실
666,나는 왜 침착하지 못하고 충동적일까?,"후쿠니시 이사오,후쿠니시 아케미 지음 ; 이호정 번역",영진닷컴,2019,513.8549-17,[해운대인문학]종합자료실
667,나는 좋은 사랑을 할 수 있을까,한채윤 지음 ; 김유미 일러스트,이매진,2025,334.22-17,[해운대인문학]종합자료실
668,"나를 위한 처방, 너그러움",아운디 콜버 지음 ; 정효진 옮김,한국기독학생회출판부,2024,234.8-224,[해운대인문학]종합자료실
669,나만 모르고 있는 내 감정의 속사정,미즈시마 히로코 지음 ; 박미정 옮김,생각의날개,2025,189.1-346,[해운대인문학]종합자료실
670,국어사전 일일공부,김흥식 지음,태학사,2024,714-34,[해운대인문학]종합자료실
671,나쁜 지방 해독 수프,고토 요시마사 지음 ; 조윤주 옮김,시그마북스,2025,594.6-33,[해운대인문학]종합자료실
672,나민애의 다시 만난 국어,나민애 지음,페이지2북스,2024,710.4-14,[해운대인문학]종합자료실
673,이진우의 다시 만난 경제,이진우 지음,페이지2북스,2025,320.4-38=2,[해운대인문학]종합자료실
674,날씨가 좋으면 찾아가겠어요,이도우 지음,수박설탕,2023,813.7-1160=3,[해운대인문학]종합자료실
675,날씨의 문장들,신방실 지음,이음,2025,818-3634,[해운대인문학]종합자료실
676,남길 것 버릴 것 간직할 것,정희숙 지음,큰숲,2025,595.4-163,[해운대인문학]종합자료실
